PTS,FG%,3P%,FT%,REB,AST,TOV,STL,BLK
77,55.4,0.0,71.4,97,11,15,4,12
74,30.5,33.9,100,29,37,15,1,3
74,37.7,24.1,71.4,32,29,12,16,3
73,47.5,0.0,62.5,65,10,11,2,11
72,38.5,25.0,90.0,32,42,18,4,6
72,42.9,40.0,66.7,19,19,3,5,4
72,35.5,24.0,70.6,77,21,10,5,7
69,64.6,33.3,46.2,27,2,9,0,2
69,45.5,35.0,66.7,36,7,8,6,1
69,35.5,39.1,87.5,5,5,6,6,0
69,31.7,13.6,77.8,53,52,18,8,0
68,39.1,30.3,57.1,24,19,7,10,2
67,37.3,35.9,52.9,40,11,3,6,7
66,61.5,75.0,71.4,47,9,8,1,6
66,31.1,12.5,86.2,54,20,19,8,3
64,44.9,37.5,68.8,74,15,13,7,8
64,33.3,33.3,100,22,14,7,3,1
63,27.6,30.5,75.0,40,29,11,9,7
62,40.7,40.9,62.5,37,8,7,4,4
62,44.4,40.7,60.0,39,10,7,3,4
62,33.3,26.1,100,68,15,16,10,3
61,39.3,18.9,75.0,53,56,10,11,12
60,34.3,20.0,55.6,24,14,9,2,1
60,39.3,36.8,50.0,20,7,5,9,8
58,36.4,11.1,58.3,42,12,5,2,3
57,42.4,28.6,37.5,51,21,18,10,7
57,51.2,0.0,81.3,96,12,14,17,23
56,33.3,32.3,85.7,28,11,5,1,2
56,35.8,45.5,80.0,23,7,5,1,0
55,39.3,20.0,54.5,31,35,19,5,2
55,29.9,28.3,100,21,3,8,4,1
55,33.8,28.6,50.0,42,62,31,12,4
52,37.0,21.7,86.7,46,10,12,10,2
52,42.2,36.7,75.0,35,18,9,6,2
52,32.7,23.8,57.7,44,17,10,13,5
52,35.8,27.3,80.0,36,10,4,4,6
52,57.7,0.0,71.0,31,0,6,3,6
51,52.4,25.0,50.0,17,14,3,6,1
51,44.7,46.9,100,13,6,8,3,1
48,29.5,26.3,100,14,22,12,8,0
47,36.2,40.0,62.5,34,13,6,2,3
46,66.7,0.0,66.7,39,2,4,2,12
45,29.4,15.4,64.7,42,3,6,10,10
44,40.5,12.5,81.8,59,9,13,6,15
44,32.6,30.6,100,30,15,5,4,3
43,36.2,14.3,77.8,36,7,3,6,3
43,45.0,41.2,0.0,25,6,6,3,3
41,51.9,55.6,100,20,4,5,3,1
40,38.2,28.6,100,14,9,1,5,1
40,60.0,50.0,25.0,26,8,4,6,2
39,28.9,20.0,81.8,17,38,12,11,0
38,41.9,9.1,84.6,31,2,4,2,4
38,33.3,16.0,57.1,19,6,3,2,4
38,24.1,21.9,71.4,47,4,5,4,5
36,48.6,0.0,0.0,38,8,6,9,9
36,22.7,11.1,86.7,24,15,15,5,2
35,48.0,35.0,57.1,19,11,8,4,2
35,31.6,35.7,100,22,27,13,7,0
34,34.3,28.6,60.0,27,7,11,8,4
34,45.7,50.0,50.0,38,9,7,6,3
33,29.3,33.3,0.0,20,6,8,5,0
33,63.2,42.9,85.7,8,3,3,1,2
33,40.0,0.0,100,21,2,1,2,2
33,38.5,42.1,62.5,14,3,2,2,0
33,56.5,50.0,100,11,3,2,3,2
32,43.5,38.5,77.8,4,2,4,0,1
32,34.4,31.6,57.1,12,10,8,2,6
31,59.1,33.3,36.4,29,0,8,2,3
31,28.9,23.5,83.3,18,10,7,3,2
31,52.4,33.3,80.0,24,16,11,5,0
30,76.9,100,87.5,17,2,2,0,2
29,36.7,26.7,100,8,12,0,6,1
28,52.2,0.0,57.1,36,8,8,3,0
27,39.3,28.6,50.0,4,4,3,2,2
27,47.4,80.0,83.3,9,8,4,2,1
